TransferSubject,TransferCourse,Transfer Title,TransferHours,TransferLevel,Connector,OU Subject,OU Course,OU Title,OUCredits,Gen. Ed.,Pass
MATH,231,INTRO TO STATISTICS,3,Lower Division Course,,ECON,2843,ELEMENTS OF STATISTICS,3,Gen Ed-Mathematics,
MATH,253,INTRODUCTORY STATISTICS,3,Lower Division Course,,ECON,2843,ELEMENTS OF STATISTICS,3,Gen Ed-Mathematics,
MATH,275,CALCULUS III,4,Lower Division Course,,MATH,2443,CALCULUS & ANALYT GEOMETRY IV,3,,
MATH,275,CALCULUS III,4,Lower Division Course,AND,MATH,1999,LOWER DIVISION TRANSFER CREDIT,1,,
MUSI,100,MUSIC APPRECIATION,3,Lower Division Course,,MUNM,1113,THE UNDERSTANDING OF MUSIC,3,Gen Ed-Artistic Forms,
MUSI,103,FUND OF MUSIC,2,LOWER DIVISION,,MUNM,1999,LOWER DIVISION TRANSFER CREDIT,2,,
MUSI,107,MUSIC APPRECIATION,3,Lower Division Course,,MUNM,1113,THE UNDERSTANDING OF MUSIC,3,Gen Ed-Artistic Forms,
MUSI,108,SVY JAZZ & POP MUS,3,Lower Division Course,,MUNM,2313,HISTORY OF JAZZ,3,Gen Ed-Artistic Forms,
MUSI,145,PIANO CLASS,2,LOWER DIVISION,,MUS,1999,LOWER DIVISION TRANSFER CREDIT,2,,
NURA,S001,CERTIFIED NURSING ASSISTANT,0,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,0,,
NURA,S008,SKILLS COMPETENCY TEST,0,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,0,,
NURA,S031,HEARTSAVER CPR,0,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,0,,
OT,116F,INTERMED PRODUCTION,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
PE,101,BOWLING,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PE,118,AEROBICS/WGHT TRAIN,2,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
PE,155,HEALTH & WELLNESS,2,Lower Division Course,,HES,2913,PERSONAL HEALTH,2,,
